sentence1,sentence2,similarity,jaccard_similarity
A woman is playing the guitar.,A man is playing guitar.,0,1.0
A woman is playing the flute.,A man is playing a flute.,0,1.0
A woman is cutting an onion.,A man is cutting onions.,0,1.0
A woman is carrying a boy.,A woman is carrying her baby.,0,1.0
A man is playing a guitar.,A man is playing a flute.,0,1.0
A man is finding something.,A woman is slicing something.,0,1.0
The girl sang into a microphone.,The lady sang into the microphone.,0,1.0
A man is speaking.,A man is spitting.,0,1.0
A man is playing a guitar.,A man is playing a trumpet.,0,1.0
A man is playing a flute.,A man is playing guitar.,0,1.0
A man is playing soccer.,A man is playing flute.,0,1.0
A girl is riding a horse.,A girl is riding a bicycle.,0,1.0
A woman is reading.,A woman is kneading dough.,0,1.0
A man is crying.,A woman is dancing.,0,1.0
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,0,1.0
A man is playing a basketball.,A man is playing a piano.,0,1.0
A plane is landing.,A animated airplane is landing.,0,1.0
A man plays a guitar.,A man plays the piano.,0,1.0
A woman is slicing a meat.,A woman is singing on stage.,0,1.0
A man is talking on a phone.,A man is singing to a woman.,0,1.0
A man is playing an electronic keyboard.,A man is playing a flute.,0,1.0
A man is playing a guitar.,A man is eating a banana.,0,1.0
A man is jumping into water.,A man is cutting paper.,0,1.0
A guy is playing hackysack,A man is playing a key-board.,0,1.0
A man is talking with other women on the beach.,A man is walking down the street.,0,1.0
The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,0,1.0
A woman is slicing some tuna.,A woman is cutting raw fish.,0,1.0
Batman and Robin fly a helicopter over water.,A helicopter flies over water.,0,1.0
A woman is cutting some herbs.,A woman is chopping cilantro.,0,1.0
The lady put the skewered shimp in the hot water.,The lady fried the breaded meat in hot oil.,0,1.0
A woman is riding a horse along a perimeter.,A dog is riding a skateboard.,0,1.0
A man jumping rope,A man is talking.,0,1.0
A woman is slicing a potato.,A woman is slicing carrot.,0,1.0
A man is playing a harp.,A woman is playing a guitar.,0,1.0
A man is cutting up a potato.,A man is cutting up carrots.,0,1.0
A man is dancing.,A man is singing.,0,1.0
A man is running.,A man is singing.,0,1.0
A man is playing a flute.,A man is playing guitar.,0,1.0
A man is riding a bike.,A woman is riding a horse.,0,1.0
The man is buttering the bread.,The man is stirring the rice.,0,1.0
A woman is hitting a man.,A woman is taking a bath.,0,1.0
Three men are dancing.,Women are dancing.,0,1.0
A man is speaking.,A man is dancing.,0,1.0
A man is dancing.,A man is speaking.,0,1.0
A man is playing the drums.,A man is playing guitar.,0,1.0
A man is peeling a banana.,A woman is peeling a potato.,0,1.0
A boy is riding a horse.,A monkey is riding a bus.,0,1.0
A person is mixing a pot of rice.,A person is peeling a potato.,0,1.0
A man is playing a guitar.,The girl is playing the guitar.,0,1.0
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,0,1.0
A man is playing a guitar.,A man is cleaning a cd.,0,1.0
A woman is chopping an onion.,A woman is chopping garlic with a knife.,0,1.0
A man is staring at a leaf.,A man is slicing a vegetable.,0,1.0
The man is playing the keyboards.,A man is playing guitar.,0,1.0
A woman is applying eye shadow.,A woman is washing a bowl.,0,1.0
A woman is playing the flute.,A man is playing a keyboard.,0,1.0
A man is riding on a horse.,A woman is riding an elephant.,0,1.0
A man is playing flute.,A man is dancing.,0,1.0
A woman is cutting potato.,A woman is riding a horse.,0,1.0
A man is playing the piano.,A man is playing a wooden flute.,0,1.0
A person uses a blowtorch on two cameras.,A person is burning cameras.,0,1.0
A man is putting a knife in a vice.,A man is getting into a car in a garage.,0,1.0
A man is standing on a roof top playing a violin.,A man is on a roof dancing.,0,1.0
A man shappens a knife.,A man carries a women.,0,1.0
A woman is brushing her feet.,A woman is chopping an onion.,0,1.0
A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.,0,1.0
A woman is writing something.,A woman is chopping green onions.,0,1.0
A boy is playing a piano.,A man is singing and playing a guitar.,0,1.0
A group of people eat at a table outside.,A group of elderly people pose around a dining table.,0,1.0
A bag of cotton in front of a couch.,Calico cat sitting on step in front of a door.,0,1.0
The lamb is looking at the camera.,A cat looking at the camera.,0,1.0
Two airplanes in the sky.,A plane in the sky.,0,1.0
A black and white photo of an old train station.,A black and white photo of a cat sitting on a sofa.,0,1.0
A bicycle in front of some ruins.,A pink bicycle is in front of a building.,0,1.0
Two people sitting on a large motorcycle.,Two eagles sitting on a long branch.,0,1.0
Two women sitting in lawn chairs.,Two women are sitting in a cafe.,0,1.0
A close-up of a cat on a cream sofa.,A close-up of a horse.,0,1.0
Two white dogs are swimming in the water.,The birds are swimming in the water.,0,1.0
A black and white cat playing with a wool basket.,A black and white cat lying on a blanket.,0,1.0
Young baby girl sitting on table.,A woman with a smiling baby sitting on the table.,0,1.0
A group of people sitting on a small sofa next to a kitchen.,A group of people standing near a small child sitting on a horse.,0,1.0
Two cows graze in a field.,A brown horse in a green field.,0,1.0
A laptop computer and a computer monitor.,A laptop and a PC at a workstation.,0,1.0
A white cat laying on an office chair.,A white cat laying on a sheet.,0,1.0
A woman leading a white horse.,A man in a tux on a white horse.,0,1.0
Left side of a silver train engine.,A close-up of a black train engine.,0,1.0
Blue couch and twin bed in a living room.,A leather couch and wooden table in a living room.,0,1.0
A woman is laying down on the floor and holding a baby up above her.,A man is laying on the floor holding a baby up above him.,0,1.0
A group of people standing in the street,A woman addressing a diverse group of people standing in the street.,0,1.0
A black and white dog is running in a grassy garden surrounded by a white fence.,A black and white dog is jumping over a hurdle.,0,1.0
A woman is sitting up asleep with her head resting on her hand.,A man who is resting his head on his hand.,0,1.0
A black dog is chasing two birds on the shore of the ocean.,A dog is running along the beach beside the ocean.,0,1.0
Two dogs fighting in the snow.,Two dogs standing in the snow.,0,1.0
Black and white dog running through water.,A black and white dog is running through grass.,0,1.0
A woman and a man are amused by headphones.,A man and a woman resting after exercise.,0,1.0
Two girls walking in the ocean.,two girls walking in the street,0,1.0
Three dogs are playing in the white snow.,Two dogs are playing in the grass.,0,1.0
A black dog running through the snow.,A black dog runs through the water.,0,1.0
Two dogs in the snow,Two dogs play in the grass.,0,1.0
A group of people are in the water.,A group of people ride in a race,0,1.0
Two dogs are sniffing something in the rocks.,Two dogs running down a path in the woods.,0,1.0
a dog runs through the long grass.,A dog lays down in the long green grass.,0,1.0
A group of people are camping out on some rocks.,A group of people are standing beside a fire truck.,0,1.0
A group of people in boats racing towards the shore.,A group of people stand together and pose in front of a house.,0,1.0
A man with long hair is looking through a camera.,A man with sunglasses looking straight ahead.,0,1.0
The black and brown dog is playing in the yard.,The black and tan dog is chasing something he has spotted.,0,1.0
A boy is jumping into the water with a ball in his hand.,A little boy swimming underwater with a toy in his hand.,0,1.0
A hockey player looks intently downward.,A hockey player during a game.,0,1.0
A group of men walk and hang onto ropes.,A group of men play a college football game.,0,1.0
A man is skating down a set of stairs.,The man is skiing down a snowy hill.,0,1.0
The dogs are playing in the snow.,Two dogs playing on the shore.,0,1.0
Two dogs are running on the grass in front of the trees.,A brown dog is running on the grass in front of some trees.,0,1.0
A skateboarder jumps off the stairs.,A dog jumps off the stairs.,0,1.0
A woman runs on the beach.,a dog runs across the land.,0,1.0
A golden colored dog jumps around in the grass while holding a stick in its mouth.,A black dog is running through the grass carrying something red in its mouth.,0,1.0
A white dog is playing with a ball on the beach.,A black and white dog is playing with a tan dog.,0,1.0
A man is carrying a canoe with a dog.,A dog is carrying a man in a canoe.,0,1.0
a group of navy seals are singing,A group of military personnel are playing in a brass quintet.,0,1.0
The people are leaving the airplane.,The people are entering the plane.,0,1.0
the tan dog is playing with the red dog out in the snow,A yellow dog is playing in the snow.,0,1.0
The four women are practicing for a upcoming match.,The women are in a play,0,1.0
There is a young girl.,There is a young boy with the woman.,0,1.0
A player bounces a ball.,A player catching a ball.,0,1.0
Men competing in a contest.,Two women compete in a contest.,0,1.0
Two men are playing a game of Scrabble together.,The two women are playing a game.,0,1.0
Many guards are standing in front of the starting line of a race.,Two men in business dress are standing by the side of a road.,0,1.0
Five kids are standing in front of a tent.,People are out sitting in front of a garden.,0,1.0
The woman had brown hair.,The woman has gray hair.,0,1.0
A boy does a skateboard trick on the stairs downtown.,a boy is running on the sidewalk,0,1.0
A man is throwing a penny into a fountain.,A little boy is throwing a man in water.,0,1.0
Two girls are playing Doctor inside their house.,The two girls are walking with their father.,0,1.0
A man is performing a stunt outdoors.,A young man on a beach is performing skateboard stunts.,0,1.0
There was girl stranded on the roof.,The couple was on the bed.,0,1.0
"A basketball player makes the 5th rebound of the night,",A tennis player in the middle of a game.,0,1.0
A helicopter is getting ready to take off.,The plane is getting ready to take off.,0,1.0
A group wading across a witch,A group wading across a ditch,0,1.0
A man is on a rooftop,A man is holding a microphone in a room.,0,1.0
There are two men near a wall.,Three women are sitting near a wall.,0,1.0
The woman is holding the hands of the man.,The woman is checking the eyes of the man.,0,1.0
The gate is blue.,The gate is yellow.,0,1.0
A pair of men walk along the beach.,Two men standing in the surf on a beach.,0,1.0
"She obviously has a legit excuse, although she could have been more responsible and ""have"" told you in advance.",The first have covers both been more responsible and told you in that sentence.,0,1.0
"A key question was whether France, which infuriated Washington by leading the charge against U.N. authorization for the war, would vote ""Yes"" or abstain.","France, which infuriated Washington by leading the charge against U.N. approval for the war, also sought changes.",0,1.0
The Recording Industry Association of America says it plans to sue the song traders next month.,"That is, if the Recording Industry Association of America has anything to say about it.",0,1.0
"""They've been in the stores for over six weeks,"" says Carney.","The quarterlies usually stay in stores for between six to eight weeks,"" Carney added.",0,1.0
Neither Iowa State athletic director Bruce Van De Velde nor Morgan could be reached for comment.,Iowa State athletic director Bruce Van de Velde would not confirm an offer was made to Lebo.,0,1.0
The panel ordered the Commerce Department to issue revised figures for the duties within 60 days.,It called on the Commerce Department to respond within 60 days.,0,1.0
"""What they have done is a thinly veiled attempt to do an end run around the Constitution,"" she said.","The church's lawyer, Shirley Phelps-Roper, was clear: ""What they have done is a thinly veiled attempt to do an end run around the constitution,"" she said.",0,1.0
Dixon was otherwise the class of the field at Pikes Peak International Raceway.,Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway.,0,1.0
"The two-year note US2YT=RR fell 5/32 in price, taking its yield to 1.23 percent from 1.16 percent late on Monday.","The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.",0,1.0
"Shares in BA were down 1.5 percent at 168 pence by 1420 GMT, off a low of 164p, in a slightly stronger overall London market.","Shares in BA were down three percent at 165-1/4 pence by 0933 GMT, off a low of 164 pence, in a stronger market.",0,1.0
Joining Stern and McEntee on stage was International Union of Painters and Allied Trades President James Williams.,The International Union of Painters and Allied Trades endorsed Mr Dean several weeks ago.,0,1.0
"A search for three missing teenagers uncovered at least two bodies buried beneath freshly poured concrete in the basement of a house, authorities said Wednesday.",Authorities performed an autopsy Thursday on one of three bodies recovered from beneath a layer of freshly poured concrete in the basement of a northwest Indiana home.,0,1.0
"The Standard & Poor's 500 Index slipped 4.77, or 0.5 percent, to 929.62.","The broad Standard & Poor's 500 Index .SPX shed 0.17 of a point, or just 0.02 percent, to 934.",0,1.0
"Shares of Halliburton fell 71 cents, or 3 percent, to close at $21.59 yesterday on the New York Stock Exchange.","Halliburton shares fell 54 cents, or 2.4 percent, to $21.76 a share in midday New York Stock Exchange trade.",0,1.0
Stocks dipped lower Tuesday as investors opted to cash in profits from Monday's big rally despite a trio of reports suggesting modest improvement in the economy.,Wall Street moved tentatively higher Tuesday as investors weighed a trio of reports showing modest economic improvement against an urge to cash in profits from Monday's big rally.,0,1.0
The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.,The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $8.98.,0,1.0
Net revenue rose to $3.99 billion from $3.85 billion during the same quarter last year.,That is up from $1.14 billion during the same quarter last year.,0,1.0
"These men ""are entitled to respect for their private lives,"" Kennedy said.","""The petitioners are entitled to respect for their private lives.""",0,1.0
"The commission dropped charges that Patton improperly appointed Conner to the Kentucky Lottery Board and that he improperly appointed Conner's then-husband, Seth, to the Agriculture Development Board.","Patton also appointed Conner to the Kentucky Lottery Board and appointed Seth Conner to the Agriculture Development Board, the commission says.",0,1.0
"Annan, UN chief call on Security Council to act on Syria","Russia, China veto UN Security Council resolution on Syria",0,1.0
Military plane crashes in south France: authorities,"Military plane crashes in southeastern Turkey, 1 dead",0,1.0
Saudi gas truck blast kills at least 22,Nigeria church blast kills at least 12,0,1.0
1 person killed in sectarian clashes in Lebanon,Nine killed in Syrian-linked clashes in Lebanon,0,1.0
Suicide bomber kills 4 near NATO's Afghan HQ,Suicide bomber kills 23 at Afghan wedding,0,1.0
Israeli Leader Puts Off Evicting Settlers From Hebron House,Israeli army orders settlers out of Hebron house,0,1.0
At least 15 killed in Nigeria church attack,At least 12 killed in Nigeria church bombing,0,1.0
US drone strike kills 8 militants,US drone strike kills four in NWA: officials,0,1.0
"Wigan 3-2 Wolves: Match report, pictures & video highlights","Arsenal 0-0 Chelsea: Match report, pictures & video highlights",0,1.0
Roadside bomb kills 10 Afghan civilians: police,Roadside bomb kills 5 Afghan policemen,0,1.0
Remarks by the President at the White House Science Fair,The Presidential Planner - The White House Science Fair,0,1.0
China's CPI growth slows to 1.8 pct in July,China's industrial output growth slows to 9.2 pct in July,0,1.0
Suicide bomber hits funeral in Iraq,Suicide bomber strikes in Syria,0,1.0
Nelson Mandela taken to hospital,Nelson Mandela released from hospital,0,1.0
"Today in History, April 23","Today in History, Jan. 21",0,1.0
32 die in Bangladesh protest,1 Killed in Bangladesh Protest,0,1.0
Calif man pleads not guilty in girl kidnap case,Calif. man pleads not guilty in terrorism case,0,1.0
"The Note's Must-Reads for Monday, November 25, 2013","The Note's Must-Reads for Tuesday, October 8, 2013",0,1.0
"The Note's Must-Reads for Friday, December 6, 2013","The Note's Must-Reads for Friday, July 12, 2013",0,1.0
North Korea Nuclear Test Sparks Worry,North Korea nuclear test,0,1.0
Stocks close 0.39% higher,Stocks close 2.47% higher,0,1.0
Hospital: 61 killed in Venezuela prison riot,Dozens reported killed in Venezuela prison riot,0,1.0
Queen pays tribute to Nelson Mandela,US presidents pay tribute to Mandela,0,1.0
Singapore stocks end up 0.11 pct,Singapore stocks close 0.54 pct higher,0,1.0
Floods leave six dead in Philippines,Heavy rains leave 18 dead in Philippines,0,1.0
Chinese shares close lower on Wednesday,China stocks close lower on Friday,0,1.0
Brooks pleads not guilty to hacking charges,Dave Lee Travis pleads not guilty to all charges,0,1.0
One dead in US building collapse,Six killed in US building collapse,0,1.0
6.4-magnitude quake strikes off Indonesia,6.9-magnitude quake strikes off Russia's Kuril Islands,0,1.0
Chinese shares close higher on Tuesday,Chinese shares close lower on Wednesday,0,1.0
Attack kills 12 in Afghanistan,NATO: 3 troops killed in Afghanistan attack,0,1.0
17 govt employees killed in Pakistan bus bombing,At least 78 killed in Pakistan church bombing,0,1.0
"4 killed, 6 injured in attacks in Iraq","43 killed, 86 wounded in attacks in Iraq",0,1.0
Bombings kill 9 people in Iraqi capital,Bombings kill 19 people in Iraq,0,1.0
10 Things to Know for Wednesday,10 Things to Know for Thursday,0,1.0
New UN peacekeeping chief named for Central African Republic,UN takes over peacekeeping in Central African Republic,0,1.0
Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.,1,0.0
A man plays a keyboard.,A person is playing the keyboard.,1,0.0
One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.,1,0.0
A chef is preparing some food.,A chef prepared a meal.,1,0.0
A turtle walks over the ground.,A large turtle crawls in the grass.,1,0.0
A baby rhino is walking around his pen with his mother.,A baby rhino is following an adult rhino.,1,0.0
The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.,1,0.0
A girl is riding a horse.,The girl trotted the horse.,1,0.0
A girl is playing a flute.,A girl plays a wind instrument.,1,0.0
A child is playing a computer game.,A boy is playing a game on a laptop.,1,0.0
A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,1,0.0
A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.,1,0.0
The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.,1,0.0
A woman is peeling an onion.,The woman is slicing green onions.,1,0.0
The man is shaking hands with other men.,A man is shaking another mans hand.,1,0.0
A target is being hit with gun fire.,The target was being shot with bullets.,1,0.0
A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,1,0.0
A guy is riding a horse.,A man is riding a horse in the desert.,1,0.0
A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.,1,0.0
A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,1,0.0
A person is folding a square paper piece.,A person folds a piece of paper.,1,0.0
A baby eats his food.,A baby is being fed peas.,1,0.0
A person is chopping an herb.,A man is finely chopping a green substance.,1,0.0
A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.,1,0.0
The flag was moving in the air.,A flag is waving.,1,0.0
The baby laughed in his car seat.,A baby is laughing.,1,0.0
The bird is taking a bath under the faucet.,A bird is bathing in a sink.,1,0.0
A man plays the guitar and sings.,A man is singing and playing a guitar.,1,0.0
Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.,1,0.0
A group of four people in a dinner having cake.,Four people eating dessert around a table.,1,0.0
A black and wood colored dining room set in a small apartment.,Black and brown table in living room setting.,1,0.0
One Asian and one occasion woman in glasses smiling with their thumbs up.,Two women are posing for the camera and giving the thumbs up sign.,1,0.0
A black train moves down the tracks.,A mostly black train on a track.,1,0.0
Several televisions are on the floor and stacked up on top of one another.,"Three televisions, on on the floor, the other two on a box.",1,0.0
A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.,1,0.0
The bird is sitting on the branch.,A red and brown bird is perched on branches.,1,0.0
Four children looking at barn animals.,Children looking a sheep.,1,0.0
Train going down the tracks.,A black steam train traveling on the railroad tracks.,1,0.0
Two cats are close together inside and black and white furry enclosure.,"Two baby kittens are sitting inside a cow-schemed, fur-covered dome.",1,0.0
A man jumping his dirt bike.,A man on a bike jumping through the air.,1,0.0
An AeroMexico jet taxing along a runway.,A silver AreoMexico Jet Liner sitting on the tarmac.,1,0.0
A woman and child push strollers down the sidewalk.,A women and a young girl walking pushchairs along the sidewalk.,1,0.0
A man on a motorcycle performing a wheelie.,Motorcyclist performing a wheelie next to a car.,1,0.0
"A young woman with outstretched arms stands in front of a ""Going Places"" bus.",TThe girl is standing in front of the open door of the bus.,1,0.0
German Shephard jumping through black hoop while people watch,A dog jumps through a hoop.,1,0.0
a skateboard performs a trick off a quarter pipe.,A skateboarder attempts to do a trick over a homemade ramp.,1,0.0
A brown and white dog with a pink Frisbee in it's mouth is humping over a man's back.,"a dog with a Frisbee in its mouth, jumps over a man.",1,0.0
A black person in black and red is sleeping on a bench with an open black umbrella.,A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun.,1,0.0
Some cyclists stop near a sign.,Two men stop to talk near a sign outside.,1,0.0
